"NO","PACKAGING TYPE","PO NO.","ITEM NO.","BRAND","BATERY TYPE","CELL GRADE","ITEM REMARK 1","REMARK","DESTINATION","ORDER QTY","CR DATE","CURRENCY","PRICE","SALES AMOUNT","CR MONTH","SALES MONTH","TERM","STANDARD PRICE","STOCK WAREHOUSE","STOCK IN TRANSIT","JAN QTY","JAN AMT","FEB QTY","FEB AMT","MAR QTY","MAR AMT","APR QTY","APR AMT","MAY QTY","MAY AMT","JUN QTY","JUN AMT","JUL QTY","JUL AMT","AUG QTY","AUG AMT","SEP QTY","SEP AMT","OCT QTY","OCT AMT","NOV AMT","NOV AMT","DES AMT","DES AMT"
"42","MANUAL SHRINK LR1 (2S) INSP","'18FI002","21828","TOSHIBA H LR1 2EC(2S)","LR1","C","07. TOSHIBA","TOSHIBA(JPN)","0","12200","22-FEB-18","US$","0.1164","1420.08","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","MANUAL SHRINK LR1 (2S) INSP","'18FI008","21828","TOSHIBA H LR1 2EC(2S)","LR1","C","07. TOSHIBA","TOSHIBA(JPN)","0","5200","28-FEB-18","US$","0.1164","605.28","2","3","FOB","0","0","0","0","0","0","0","5,200","605","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","MANUAL SHRINK LR1 (2S) INSP","'18FI016","21828","TOSHIBA H LR1 2EC(2S)","LR1","C","07. TOSHIBA","TOSHIBA(JPN)","0","5200","04-APR-18","US$","0.1164","605.28","4","4","FOB","0","0","0","0","0","0","0","0","0","5,200","605","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","AUTO SHRINK LR6 (2S)","'FITK/18-021","66180","FUJITSU R-SPEC JEE LR6 (2S)","LR6","C1","03. Domestic B to B","DOMESTIC OEM - CASIO HONGKONG","0","40000","22-MAR-18","US$","0.12","4800","3","3","CIF","0","0","0","0","0","0","0","40,000","4,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","AUTO SHRINK LR6 (2S)","'FITK/18-047","66180","FUJITSU R-SPEC JEE LR6 (2S)","LR6","C1","03. Domestic B to B","DOMESTIC OEM - CASIO HONGKONG","0","40000","10-APR-18","US$","0.12","4800","4","4","CIF","0","0","0","0","0","0","0","0","0","40,000","4,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","AUTO SHRINK LR6 (2S)","'FIAL18-005","69190","FJ LONGLIFE JEE LR6 2S","LR6","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","86400","14-FEB-18","US$","0.0937","8095.68","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","AUTO SHRINK LR6 (2S)","'FIFJ/1709","69190","FJ LONGLIFE JEE LR6 2S","LR6","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","39200","15-FEB-18","US$","0.0937","3673.04","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","AUTO SHRINK LR6 (2S)","'FIFJ/1712","69190","FJ LONGLIFE JEE LR6 2S","LR6","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","4800","21-MAR-18","US$","0.0937","449.76","3","3","FOB","0","0","0","0","0","0","0","4,800","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","AUTO SHRINK LR6 (2S)","'FITK/18-007","69190","FJ LONGLIFE JEE LR6 2S","LR6","C1","03. Domestic B to B","OVERSEAS OEM - TRANSKING","0","80000","08-FEB-18","US$","0.0937","7496","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","AUTO SHRINK LR6 (2S)","'FITK/18-008","69190","FJ LONGLIFE JEE LR6 2S","LR6","C1","03. Domestic B to B","OVERSEAS OEM - TRANSKING","0","80000","02-MAR-18","US$","0.0937","7496","3","3","FOB","0","0","0","0","0","0","0","80,000","7,496","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
